PV_gen_share	OcM	REM	Storage_hrs	BackupShare	Storage_LCOH	GreenHydrogen_LCOH	Transport_LCHS	Electricity_LCOH	Total_LCOH
1	0.5	3.4	15	0.396829406	0.291171824	8.4699771	0.065726001	3.665957392	12.49283232
1	0.5	3.3	15	0.414744141	0.291191138	8.473288694	0.06493344	3.667391922	12.49680519
1	0.5	3.2	15	0.432659249	0.291210454	8.476815671	0.064137757	3.668919753	12.50108363
1	0.5	3.1	15	0.450574428	0.291229773	8.480574527	0.063338811	3.67054803	12.50569114
1	0.5	3	15	0.468489757	0.291249094	8.484590042	0.062536446	3.672287487	12.51066307
1	0.5	3.4	16	0.396829406	0.310583279	8.4699771	0.065726001	3.665957392	12.51224377
1	0.5	3.3	16	0.414744141	0.310603881	8.473288694	0.06493344	3.667391922	12.51621794
1	0.5	3.2	16	0.432659249	0.310624484	8.476815671	0.064137757	3.668919753	12.52049766
1	0.5	3.1	16	0.450574428	0.310645091	8.480574527	0.063338811	3.67054803	12.52510646
1	0.5	3	16	0.468489757	0.3106657	8.484590042	0.062536446	3.672287487	12.53007967
1	0.5	3.4	17	0.396829406	0.329994734	8.4699771	0.065726001	3.665957392	12.53165523
1	0.5	4.2	15	0.257626187	0.290954906	8.493498098	0.071952835	3.676146315	12.53255215
1	0.4	3.1	15	0.528350231	0.291286955	7.906537385	0.058289361	4.277355332	12.53346903
1	0.5	3.3	17	0.414744141	0.330016623	8.473288694	0.06493344	3.667391922	12.53563068
1	0.5	4.1	15	0.275307297	0.291042383	8.496764706	0.071197999	3.677561357	12.53656645
1	0.5	4.3	15	0.240307542	0.290913573	8.496195207	0.072716641	3.67731466	12.53714008
1	0.5	3.2	17	0.432659249	0.330038515	8.476815671	0.064137757	3.668919753	12.5399117
1	0.5	4	15	0.293223215	0.291061679	8.500200418	0.070424023	3.679049654	12.54073577
1	0.4	3.4	15	0.483017415	0.291285605	7.911214093	0.060266507	4.279887676	12.54265388
1	0.5	3.1	17	0.450574428	0.330060409	8.480574527	0.063338811	3.67054803	12.54452178
1	0.5	3.9	15	0.311139543	0.291080978	8.503820355	0.069647686	3.680617752	12.54516677
1	0.5	3	17	0.468489757	0.330082307	8.484590042	0.062536446	3.672287487	12.54949628
1	0.5	3.8	15	0.329056044	0.29110028	8.507636348	0.068868899	3.68227078	12.54987631
1	0.4	3.7	15	0.437840052	0.291239013	7.915138204	0.062210701	4.282012505	12.55060042
1	0.5	3.4	18	0.396829406	0.349406189	8.4699771	0.065726001	3.665957392	12.55106668
1	0.5	4.2	16	0.257626187	0.3103519	8.493498098	0.071952835	3.676146315	12.55194915
1	0.4	3.1	16	0.528350231	0.310706085	7.906537385	0.058289361	4.277355332	12.55288816
1	0.5	4.3	16	0.240307542	0.310272535	8.494925423	0.072708374	3.676764609	12.55467094
1	0.5	3.7	15	0.346972594	0.291119584	8.51166297	0.068087569	3.684015049	12.55488517
1	0.5	3.3	18	0.414744141	0.349429366	8.473288694	0.06493344	3.667391922	12.55504342
1	0.5	4.1	16	0.275307297	0.310445209	8.496764706	0.071197999	3.677561357	12.55596927
1	0.4	4	15	0.392662769	0.291192435	7.918477807	0.064133789	4.283820833	12.55762486
1	0.5	3.2	18	0.432659249	0.349452545	8.476815671	0.064137757	3.668919753	12.55932573
1	0.5	4	16	0.293223215	0.310465791	8.500200418	0.070424023	3.679049654	12.56013989
1	0.5	3.6	15	0.364889468	0.29113889	8.515921759	0.067303596	3.685859888	12.56022413
1	0.4	3.4	16	0.483017415	0.310704645	7.911214093	0.060266507	4.279887676	12.56207292
1	0.4	4.3	15	0.347485615	0.291145873	7.921355244	0.066038047	4.285378908	12.56391807
1	0.5	3.1	18	0.450574428	0.349475727	8.480574527	0.063338811	3.67054803	12.56393709
1	0.5	3.9	16	0.311139543	0.310486377	8.503820355	0.069647686	3.680617752	12.56457217
1	0.5	3.5	15	0.382807004	0.2911582	8.520437678	0.066516873	3.687816113	12.56592886
1	0.5	4.4	15	0.224587643	0.290913363	8.517797592	0.07348859	3.686672469	12.56887201
1	0.5	3	18	0.468489757	0.349498913	8.484590042	0.062536446	3.672287487	12.56891289
1	0.5	3.8	16	0.329056044	0.310506965	8.507636348	0.068868899	3.68227078	12.56928299
1	0.4	4.6	15	0.302308429	0.291099326	7.9238587	0.067925361	4.28673448	12.56961787
1	0.4	3.7	16	0.437840052	0.310654947	7.915138204	0.062210701	4.282012505	12.57001636
1	0.5	3.4	19	0.396829406	0.368817644	8.4699771	0.065726001	3.665957392	12.57047814
1	0.5	4.2	17	0.257626187	0.329748894	8.493498098	0.071952835	3.676146315	12.57134614
1	0.5	4.3	17	0.240307542	0.329627094	8.493656018	0.072700109	3.676214723	12.57219795
1	0.4	3.1	17	0.528350231	0.330125216	7.906537385	0.058289361	4.277355332	12.57230729
1	0.5	3.7	16	0.346972594	0.310527556	8.51166297	0.068087569	3.684015049	12.57429314
1	0.5	3.3	19	0.414744141	0.368842108	8.473288694	0.06493344	3.667391922	12.57445616
1	0.4	4.9	15	0.257131308	0.291052793	7.926057617	0.069797313	4.28792515	12.57483287
1	0.5	4.1	17	0.275307297	0.329848034	8.496764706	0.071197999	3.677561357	12.5753721
1	0.4	3.2	15	0.514820772	0.291286955	7.933972285	0.058951286	4.292210785	12.57642131
1	0.4	4	16	0.392662769	0.310605264	7.918477807	0.064133789	4.283820833	12.57703769
1	0.5	3.2	19	0.432659249	0.368866575	8.476815671	0.064137757	3.668919753	12.57873976
1	0.5	4	17	0.293223215	0.329869903	8.500200418	0.070424023	3.679049654	12.579544
1	0.5	3.6	16	0.364889468	0.31054815	8.515921759	0.067303596	3.685859888	12.57963339
1	0.5	4.4	16	0.224246113	0.31027231	8.512810771	0.073480235	3.684512258	12.58107557
1	0.4	3.4	17	0.483017415	0.330123685	7.911214093	0.060266507	4.279887676	12.58149196
1	0.4	3.5	15	0.469535203	0.291271969	7.936191635	0.060917473	4.293412519	12.5817936
1	0.4	4.3	16	0.347485615	0.310555598	7.921355244	0.066038047	4.285378908	12.5833278
1	0.5	3.1	19	0.450574428	0.368891045	8.480574527	0.063338811	3.67054803	12.58335241
1	0.5	3.9	17	0.311139543	0.329891775	8.503820355	0.069647686	3.680617752	12.58397757
1	0.5	3.5	16	0.382807004	0.310568746	8.520437678	0.066516873	3.687816113	12.58533941
1	0.4	3.8	15	0.424358197	0.291225381	7.938061967	0.062854363	4.294425267	12.58656698
1	0.5	3	19	0.468489757	0.368915519	8.484590042	0.062536446	3.672287487	12.58832949
1	0.5	3.8	17	0.329056044	0.32991365	8.507636348	0.068868899	3.68227078	12.58868968
1	0.4	4.6	16	0.302308429	0.310505947	7.9238587	0.067925361	4.28673448	12.58902449
1	0.4	3.7	17	0.437840052	0.330070881	7.915138204	0.062210701	4.282012505	12.58943229
1	0.5	4.3	18	0.240307542	0.348977255	8.492386993	0.072691846	3.675665002	12.5897211
1	0.5	3.4	20	0.396829406	0.388229099	8.4699771	0.065726001	3.665957392	12.58988959
1	0.5	4.2	18	0.257626187	0.349145888	8.493498098	0.071952835	3.676146315	12.59074314
1	0.4	4.1	15	0.379181238	0.291178809	7.939659908	0.064770955	4.29529052	12.59090019
1	0.4	3.1	18	0.528350231	0.349544346	7.906537385	0.058289361	4.277355332	12.59172642
1	0.5	3.7	17	0.346972594	0.329935528	8.51166297	0.068087569	3.684015049	12.59370112
1	0.5	4.4	17	0.22393981	0.329626856	8.5082149	0.073471882	3.6825214	12.59383504
1	0.5	3.3	20	0.414744141	0.388254851	8.473288694	0.06493344	3.667391922	12.59386891
1	0.4	4.9	16	0.257131308	0.310456312	7.926057617	0.069797313	4.28792515	12.59423639
1	0.5	4.1	18	0.275307297	0.34925086	8.496764706	0.071197999	3.677561357	12.59477492
1	0.4	4.4	15	0.334004298	0.291132251	7.941040685	0.066669385	4.296038183	12.5948805
1	0.4	3.2	16	0.514820772	0.310706085	7.933972285	0.058951286	4.292210785	12.59584044
1	0.4	4	17	0.392662769	0.330018093	7.918477807	0.064133789	4.283820833	12.59645052
1	0.5	3.2	20	0.432659249	0.388280605	8.476815671	0.064137757	3.668919753	12.59815379
1	0.4	4.7	15	0.288827404	0.291085707	7.9422461	0.068551427	4.296690891	12.59857413
1	0.5	4	18	0.293223215	0.349274015	8.500200418	0.070424023	3.679049654	12.59894811
1	0.5	3.6	17	0.364889468	0.329957409	8.515921759	0.067303596	3.685859888	12.59904265
1	0.4	3.4	18	0.483017415	0.349542726	7.911214093	0.060266507	4.279887676	12.600911
1	0.4	3.5	16	0.469535203	0.3106901	7.936191635	0.060917473	4.293412519	12.60121173
1	0.4	5	15	0.243650539	0.291039179	7.943307465	0.070418579	4.2972656	12.60203082
1	0.4	4.3	17	0.347485615	0.329965323	7.921355244	0.066038047	4.285378908	12.60273752
1	0.5	3.1	20	0.450574428	0.388306364	8.480574527	0.063338811	3.67054803	12.60276773
1	0.5	3.9	18	0.311139543	0.349297174	8.503820355	0.069647686	3.680617752	12.60338297
1	0.5	3.5	17	0.382807004	0.329979293	8.520437678	0.066516873	3.687816113	12.60474996
1	0.4	3.8	16	0.424358197	0.310640407	7.938061967	0.062854363	4.294425267	12.605982
1	0.5	4.3	19	0.240307542	0.368323017	8.491118347	0.072683585	3.675115445	12.60724039
1	0.5	3	20	0.468489757	0.388332125	8.484590042	0.062536446	3.672287487	12.6077461
1	0.5	3.8	18	0.329056044	0.349320336	8.507636348	0.068868899	3.68227078	12.60809636
1	0.4	4.6	17	0.302308429	0.329912569	7.9238587	0.067925361	4.28673448	12.60843111
1	0.5	4.4	18	0.223764661	0.348977002	8.505056582	0.073463532	3.681153266	12.60865038
1	0.4	3.7	18	0.437840052	0.349486815	7.915138204	0.062210701	4.282012505	12.60884822
