PV_gen_share	OcM	REM	Storage_hrs	BackupShare	Storage_LCOH	GreenHydrogen_LCOH	Transport_LCHS	Electricity_LCOH	Total_LCOH		
0.45	0.5	2	1	0.44340299	0.01941913	5.405372293	0.054249853	3.635147908	9.114189184		
0.4	0.5	2	1	0.437296116	0.01941913	5.34678696	0.054249853	3.712301678	9.132757622		
0.45	0.5	2	2	0.44340299	0.038838261	5.405372293	0.054249853	3.635147908	9.133608315		
0.5	0.5	2	1	0.45188814	0.01941913	5.488940332	0.054249853	3.571713158	9.134322474		
0.35	0.5	2	1	0.431250712	0.01941913	5.290030494	0.054249853	3.788208144	9.151907621		
0.4	0.5	2	2	0.437296116	0.038838261	5.34678696	0.054249853	3.712301678	9.152176752		
0.45	0.5	2	3	0.44340299	0.058257391	5.405372293	0.054249853	3.635147908	9.153027445		
0.5	0.5	2	2	0.45188814	0.038838261	5.488940332	0.054249853	3.571713158	9.153741604		
0.35	0.5	2	2	0.431250712	0.038838261	5.290030494	0.054249853	3.788208144	9.171326751		
0.4	0.5	2	3	0.437296116	0.058257391	5.34678696	0.054249853	3.712301678	9.171595883		
0.45	0.5	2	4	0.44340299	0.077676521	5.405372293	0.054249853	3.635147908	9.172446576		
0.5	0.5	2	3	0.45188814	0.058257391	5.488940332	0.054249853	3.571713158	9.173160734		
0.55	0.5	2	1	0.461662242	0.01941913	5.588467944	0.054249853	3.514678658	9.176815585		
0.35	0.5	2	3	0.431250712	0.058257391	5.290030494	0.054249853	3.788208144	9.190745881		
0.4	0.5	2	4	0.437296116	0.077676521	5.34678696	0.054249853	3.712301678	9.191015013		
0.45	0.5	2	5	0.44340299	0.097095652	5.405372293	0.054249853	3.635147908	9.191865706		
0.5	0.5	2	4	0.45188814	0.077676521	5.488940332	0.054249853	3.571713158	9.192579865		
0.55	0.5	2	2	0.461662242	0.038838261	5.588467944	0.054249853	3.514678658	9.196234716		
0.3	0.5	2	1	0.427314514	0.019419067	5.253690354	0.054249677	3.876721612	9.20408071		
0.35	0.5	2	4	0.431250712	0.077676521	5.290030494	0.054249853	3.788208144	9.210165012		
0.4	0.5	2	5	0.437296116	0.097095652	5.34678696	0.054249853	3.712301678	9.210434143		
0.45	0.5	2	6	0.44340299	0.116514782	5.405372293	0.054249853	3.635147908	9.211284836		
