Index,G(i)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,97.61
9,302.89
10,302.38
11,0
12,915.25
13,1037.72
14,1098.93
15,1094.19
16,1023.82
17,892.08
18,706.93
19,487.59
20,257.65
21,61.75
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,95.87
33,302.35
34,528.85
35,738.84
36,911.55
37,1032.92
38,1092.97
39,1086.69
40,1014.36
41,882.12
42,707.22
43,490.38
44,260.15
45,62.41
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,95.78
57,303.45
58,532.74
59,742.98
60,922.24
61,1042.71
62,1097.96
63,1086.58
64,1005.91
65,862.82
66,685.76
67,466.89
68,242.72
69,57.12
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,51.78
81,80.48
82,129.85
83,328.75
84,389.77
85,419.25
86,514.14
87,590.29
88,655.8
89,534.05
90,559.52
91,287.7
92,148.1
93,41.9
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,8
105,21.5
106,42.95
107,117.45
108,129.05
109,212.15
110,180.54
111,111.85
112,95.35
113,85.65
114,68.3
115,50.15
116,25.5
117,7.85
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,68.11
129,273.36
130,484.44
131,644.92
132,870.7
133,999.91
134,1066.41
135,1038.36
136,956.58
137,833.21
138,676.93
139,472.93
140,248.47
141,59.78
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,81.49
153,278.85
154,500.96
155,709.37
156,882.09
157,1004.05
158,1063.66
159,1060.27
160,994.63
161,864.63
162,686.62
163,472.32
164,249.42
165,60.49
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,79.14
177,274.59
178,495.06
179,701.71
180,872.88
181,993.65
182,1054.01
183,1049.12
184,980.13
185,853.22
186,681.61
187,470.8
188,249.06
189,60.49
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,77.69
201,273.99
202,495.91
203,704.71
204,878.02
205,998.49
206,1057.2
207,1041.79
208,966.1
209,797.29
210,512.17
211,339.9
212,154.83
