Index,Average Wind Speed
1,22.94
2,20.16
3,19.415
4,21.35
5,17.605
6,20.165
7,17.085
8,18.695
9,22.05
10,20.91
11,17.105
12,16.03
13,16.805
14,17.715
15,20.07
16,23.15
17,28.64666667
18,35.27333333
19,39.52833333
20,35.755
21,25.33166667
22,28.03333333
23,18.035
24,14.62
25,14.56
26,14.17
27,18.585
28,20.23
29,22.615
30,24.04
31,22.81
32,24.31166667
33,31.37333333
34,33.64
35,35.53666667
36,36.35
37,37.32
38,37.44666667
39,35.97666667
40,38.61
41,40.60166667
42,39.29152542
43,39.35166667
44,33.10333333
45,32.72
46,30.67
47,32.61
48,28.25666667
49,22.65
50,18.44
51,20.2
52,18.615
53,14.505
54,12.22
55,9.49
56,11.62
57,17.33
58,21.04
59,21.05
60,19.955
61,16.825
62,19.305
63,21.44
64,24.59
65,25.69
66,30.46
67,32.28
68,29.86949153
69,27.75
70,23.125
71,25.47666667
72,25.77
73,24.875
74,24.575
75,25.835
76,24.025
77,22.175
78,19.1
79,20.15
80,21.745
81,22.945
82,26.87288136
83,30.37333333
84,28.99666667
85,31.63666667
86,38.325
87,44.64
88,46.445
89,44.075
90,44.86
91,46.375
92,43.86271186
93,39.90833333
94,35.67666667
95,36.63166667
96,35.9
97,34.26333333
98,30.81
99,27.04666667
100,26.11
101,27.74333333
102,27.505
103,28.2
104,26.26333333
105,27.44333333
106,26.99333333
107,26.17666667
108,26.555
109,28.53
110,31.33333333
111,39.47833333
112,43.64
113,45.01333333
114,45.555
115,45.27
116,41.37833333
117,37.76833333
118,34.31666667
119,33.06333333
120,32.19
121,29.18333333
122,30.41666667
123,30.17
124,28.21333333
125,27.98333333
126,26.68
127,26.87333333
128,25.13666667
129,22.32
130,23.575
131,26.11
132,27.33666667
133,29.55666667
134,35.15333333
135,31.855
136,17.89
137,23.945
138,27.64666667
139,33.69
140,34.74666667
141,30.7
142,23.75
143,19.19
144,15.94
145,14.56
146,14.59
147,13.18
148,13.63
149,13.6
150,11.53
151,9.37
152,10.45
153,14.95
154,13.33
155,15.465
156,15.68
157,19.39
158,22.225
159,20.67
160,23.065
161,27.59
162,33.66
163,32.22
164,29.35666667
165,27.82666667
166,25.48666667
167,21.815
168,17.865
169,15.34
170,15.79
171,16.52
172,13.78
173,11.8
174,9.67
175,10
176,11.11
177,13.54
178,15.19
179,12.27
180,12.11333333
181,12.64
182,13.81
183,16.645
184,18.64
185,20.945
186,20.885
187,21.165
188,19.38
189,15.28
190,12.20666667
191,7.42
192,5.066666667
193,5.956666667
194,11.07333333
195,11.95
196,11.53
197,11.17
198,5.86
199,5.893333333
200,8.59
201,3.38
202,9.643333333
203,12.7
204,15.015
205,17.275
206,21.05666667
207,30.375
208,31.58666667
209,28.10166667
