PV_gen_share,ReM_OcM_Ratio,REM,Storage_hrs,Storage_LCOH,GreenHydrogen_LCOH,Transport_LCHS,Electricity_LCOH,Electricity_LCOS,Total_LCOH
0.35,0.45,2.3,1,0.0133868314017295,5.30108818071196,0.054842306219118,4.06765667916998,296.203867273259,9.43697399750278
0.35,0.45,2.3,2,0.0267736628034591,5.28843606533526,0.0548423062191181,4.05854045139798,295.54003004854,9.42859248575582
0.35,0.45,2.3,3,0.0401604942051886,5.28626872801178,0.0548423062191181,4.05696561025835,295.425351236464,9.43823713869444
0.35,0.45,2.3,4,0.0535473256069182,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.45081360360014
0.35,0.45,2.3,5,0.0669341570086477,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.46420043500187
0.35,0.45,2.3,6,0.0803209884103773,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.4775872664036
0.35,0.45,2.3,7,0.0937078198121068,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.49097409780532
0.35,0.45,2.3,8,0.107094651213836,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.50436092920705
0.35,0.45,2.3,9,0.120481482615566,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.51774776060878
0.35,0.45,2.3,10,0.133868314017295,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.53113459201051
0.35,0.45,2.3,11,0.147255145419025,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.54452142341224
0.35,0.45,2.3,12,0.160641976820755,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.55790825481397
0.35,0.45,2.3,13,0.174028808222484,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.5712950862157
0.35,0.45,2.3,14,0.187415639624214,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.58468191761743
0.35,0.45,2.3,15,0.200802471025943,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.59806874901916
0.35,0.45,2.3,16,0.214189302427673,5.28580085278694,0.0548423062191181,4.05662311898716,295.400411265607,9.61145558042089
